,sytoxG_t0,sytoxG_t2,sytoxG_t4,sytoxG_t6,sytoxG_t8,sytoxG_t10,sytoxG_t12,sytoxG_t14,sytoxG_t16,sytoxG_t18,sytoxG_t20,sytoxG_t22,sytoxG_t24,sytoxG_t26,sytoxG_t28,sytoxG_t30,sytoxG_t32,sytoxG_t34,sytoxG_t36,sytoxG_t38,sytoxG_t40,sytoxG_t42,sytoxG_t44,sytoxG_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
EPZ004777.HCl.,109.9912,114.1681,108.1348,101.6374,97.46053,120.2013,137.3729,140.6216,148.0472,166.147,188.8878,219.9823,263.1434,285.8842,307.6968,307.2327,303.5199,313.7301,299.8072,289.597,275.6741,274.7459,260.8229,256.6461,212.13135125,97.46053,313.7301,9815.66756,34,8,216.26957,146.6549,21.58055,23,-6.9615,43
Bezafibrate,60.79681,58.01222,59.86861,57.54812,72.39925,91.89136,122.5218,137.837,151.2959,164.7547,194.9211,239.4744,268.2485,309.5532,324.8684,341.576,333.2222,332.294,328.1171,319.2993,307.6968,304.4482,290.0611,290.0611,215.031965416667,57.54812,341.576,9970.67642999999,30,6,284.02788,229.26429,22.27665,21,-7.19354999999999,43
Oprozomib..ONX.0912.,68.22237,71.93516,72.86335,70.54286,82.60941,109.9912,138.3011,172.1803,200.4902,222.3028,233.9053,262.2152,284.0278,303.984,319.2993,327.1889,356.8912,391.6985,423.7213,458.9927,517.469,574.0889,614.9296,655.306,288.88151875,68.22237,655.306,13142.78453,46,0,587.08363,587.08363,29.23815,39,-1.160245,5
Cyromazine,65.43778,70.07877,71.00696,67.29417,71.47105,83.5376,97.92463,106.7425,112.7758,117.8808,142.0139,191.6724,247.8282,266.8562,275.21,301.6635,301.1995,306.3045,306.7686,293.3098,287.2765,281.2433,259.4307,257.5742,190.937556666667,65.43778,306.7686,8841.99074,36,0,241.33082,192.13642,28.0779,23,-10.9063,43
NMDA..N.Methyl.D.aspartic.acid.,57.08403,55.22763,57.08403,51.51485,68.22237,92.81956,113.704,122.5218,128.5551,148.0472,179.1417,226.9438,265.4639,293.7739,306.7686,322.5479,332.7581,327.653,325.3326,308.1609,289.1329,288.2047,285.4201,275.21,205.05386125,51.51485,332.7581,9510.29131,32,6,281.24325,218.12597,23.90105,21,-9.51400000000001,39
Uracil,90.03497,89.57087,83.0735,79.36072,80.28892,100.2451,112.7758,116.0244,126.2346,138.7652,174.5008,219.9823,269.1767,303.984,323.9402,341.1118,344.8246,347.1451,338.7914,312.3378,303.5199,303.984,301.1995,286.3483,216.134186666667,79.36072,347.1451,9998.05769,34,6,267.78438,196.31333,24.5972,23,-13.2268,37
KY02111,51.05075,59.86861,58.94042,49.65846,45.94568,66.83008,80.75301,96.06824,115.0962,134.1243,162.8983,194.9211,219.5182,241.7949,257.5742,262.6794,266.8562,272.8895,279.3869,266.8562,243.6513,228.3361,226.9438,213.0209,170.652614583333,45.94568,279.3869,7927.25385,36,8,233.44122,161.97015,16.0114,21,-11.60245,39
Domiphen.Bromide,74.71974,77.50433,76.11204,74.25565,88.64268,112.3117,129.4833,139.6934,158.7214,174.0367,196.3134,221.3746,251.541,282.1714,318.3711,349.4656,379.632,414.4393,412.5829,421.4008,443.2134,460.8491,467.8105,481.7335,258.5991475,74.25565,481.7335,11856.30584,46,6,407.47785,407.01376,18.09985,27,-0.928200000000004,35
Zebularine,68.68647,71.47105,64.97369,63.1173,73.32745,91.42726,104.8861,107.2066,119.7372,130.8756,161.506,206.0594,247.3641,292.3816,301.6635,321.6198,331.3658,348.5374,350.3938,356.8912,354.5707,335.0786,336.935,335.0786,215.631425833333,63.1173,356.8912,9946.54337,38,6,293.7739,266.39213,22.50875,25,-9.74605,41
Broxyquinoline,58.94042,63.58139,60.79681,57.08403,53.83534,54.29944,54.76354,59.86861,64.04549,66.83008,77.50433,91.42726,118.809,131.8038,168.0034,194.457,209.7722,215.3414,236.6899,239.9386,255.2538,252.9333,266.3921,278.9228,138.803918333333,53.83534,278.9228,6324.72486,46,8,225.08746,219.98238,18.0998,27,-1.85639,5
EPZ.6438,62.1891,66.36598,55.69173,53.83534,56.61993,67.75828,81.68121,90.96317,92.81956,106.2784,125.7705,159.1855,206.9876,236.2258,245.9718,242.259,239.9386,250.1487,255.7179,254.7897,250.1487,238.5462,233.4412,235.7617,162.878983333333,53.83534,255.7179,7520.2404,36,6,201.88256,173.5726,23.90105,23,-5.80125,41
Furaltadone.HCl,82.1453,77.96842,67.29417,64.04549,68.22237,78.43253,102.1015,109.9912,112.7758,135.0524,167.0752,207.9158,241.3308,248.2923,247.8282,258.9666,273.3536,269.6408,259.4307,250.6128,235.7617,231.5848,230.1925,215.3414,176.4731825,64.04549,273.3536,8173.22606,32,6,209.30811,133.1961,20.4203,21,-7.42555,39
BMS.833923,71.47105,73.32745,63.1173,53.37124,51.51485,70.07877,90.96317,103.4938,115.0962,136.9088,149.4395,171.2521,203.2748,227.4079,260.8229,300.2713,325.3326,322.0839,331.3658,346.681,331.3658,317.907,327.653,330.9017,198.962580416667,51.51485,346.681,9147.83111,38,8,295.16615,259.43065,19.7242,29,-7.6576,39
Montelukast.Sodium,59.86861,59.40451,58.47632,55.69173,69.15057,85.39399,115.0962,134.5883,149.9036,167.5393,198.1698,244.5795,283.0996,307.6968,318.8352,314.6583,321.1557,341.576,333.2222,333.6863,342.0401,331.3658,315.1224,301.6635,218.41601375,55.69173,342.0401,10122.43655,40,6,286.34837,241.79489,23.20485,21,-8.12169999999998,43
Ilomastat..GM6001..Galardin.,71.00696,76.57613,75.18384,68.22237,82.1453,103.9579,144.3344,158.2573,148.5113,149.9036,173.1085,202.8107,225.0874,240.4026,245.0436,267.7844,261.7511,267.3203,255.7179,244.5795,225.5515,204.6671,198.1698,207.9158,179.083720833333,68.22237,267.7844,8317.09584,30,6,199.56203,136.90884,20.18825,11,-10.4422,41
Mevastatin,63.58139,67.75828,66.83008,69.61466,74.25565,98.85282,129.0192,144.7985,165.2188,199.0979,238.0822,284.4919,319.2993,336.935,351.322,370.35,374.0628,374.5269,373.1346,357.3553,352.7143,335.0786,322.5479,314.6583,240.982765833333,63.58139,374.5269,11188.93307,34,0,310.94551,251.07691,23.20485,21,-8.81784999999999,41
AGI.5198,67.75828,74.71974,69.61466,66.83008,77.04023,100.2451,113.2399,139.6934,140.1575,158.2573,169.3957,201.8825,215.8055,229.2643,258.0384,252.9333,254.3256,253.3974,254.7897,243.1872,230.6566,222.7669,201.8825,189.3519,174.384737083333,66.83008,258.0384,8113.35720000001,28,6,191.20832,121.59362,16.2434,21,-10.4422,43
Nithiamide,63.1173,68.68647,75.18384,74.71974,77.04023,93.28365,98.38873,96.06824,98.38873,111.8476,142.9421,177.2854,203.2748,230.1925,245.5077,265.4639,272.8895,275.6741,260.3589,253.3974,250.6128,243.1872,234.8335,227.4079,172.48967625,63.1173,275.6741,7988.97926,34,0,212.5568,164.2906,17.17165,21,-7.6576,35
Skepinone.L,50.58666,53.83534,51.97895,47.33797,45.48158,51.51485,63.58139,97.46053,130.4115,159.1855,177.7495,198.1698,221.8387,256.182,278.4586,313.266,351.322,377.3115,414.9034,452.0312,478.0207,502.6179,529.9996,540.6739,243.496627916667,45.48158,540.6739,11096.57758,46,8,495.19232,490.08724,19.028,31,-2.32049,5
Serotonin.HCl,55.69173,59.86861,51.97895,47.80207,47.33797,61.725,75.64793,89.10677,101.6374,109.5271,137.837,177.2854,207.4517,245.9718,266.8562,284.0278,284.4919,275.6741,271.9613,253.3974,242.259,232.0489,226.4797,225.5515,167.98405125,47.33797,284.4919,7781.99123,32,8,237.15393,169.85977,19.7242,21,-9.28194999999999,37
AZD2858,57.08403,54.76354,52.90715,44.08929,35.73553,42.2329,42.69699,44.08929,39.44831,41.7688,49.19436,62.6532,72.86335,79.36072,81.21711,88.64268,96.53233,114.1681,129.9474,144.7985,148.9754,154.5446,152.2241,166.6111,83.1895325,35.73553,166.6111,3769.40243,46,8,130.87557,109.52707,8.817885,33,-4.40893,5
P276.00,44.08929,46.87387,47.33797,77.04023,143.8703,217.1978,281.7073,329.0453,371.2782,398.66,447.3903,494.7282,541.138,582.4427,624.2115,674.334,719.8156,758.7999,794.0713,809.8506,827.9504,848.8348,868.3269,878.537,492.813810833333,44.08929,878.537,22732.43663,46,0,834.44771,834.44771,36.66375,9,0.232050000000001,3
Empty.5,51.05075,56.15583,53.37124,51.97895,63.58139,84.92989,115.5603,132.732,138.7652,154.0805,183.3186,232.9771,264.5357,277.9946,285.8842,294.238,292.8457,290.5252,297.9508,297.4867,297.9508,300.7354,295.1662,289.1329,200.12283125,51.05075,300.7354,9265.71225,42,0,249.68465,238.08215,24.82925,21,-3.01665,45
Probenecid.,59.40451,64.97369,65.43778,63.1173,68.22237,79.36072,99.78102,103.9579,116.4885,142.478,178.2135,219.5182,260.8229,277.0664,311.4096,323.0121,342.0401,343.4323,350.8579,335.5427,316.5147,303.984,303.984,301.6635,209.636820416667,59.40451,350.8579,9701.49936999999,36,0,291.45339,242.25899,20.65235,21,-9.51400000000001,39
Epinastine.HCl,75.18384,84.00169,73.79154,66.83008,70.07877,91.42726,118.3449,130.8756,146.6549,173.5726,205.5953,251.541,277.0664,307.6968,309.5532,294.7021,311.8737,312.8019,296.0944,297.4867,293.3098,283.5638,280.7791,280.3151,209.714186666667,66.83008,312.8019,9710.78202,34,6,245.97182,205.13126,22.97285,21,-8.35374999999999,35
Doxapram.HCl,90.96317,89.10677,77.96842,72.39925,76.11204,98.38873,110.4553,112.3117,129.0192,134.5883,165.6829,196.3134,238.0822,268.7126,271.0331,276.1382,290.0611,289.597,276.6023,262.2152,258.9666,243.6513,230.6566,222.3028,186.7220075,72.39925,290.0611,8649.39039000001,32,6,217.66185,131.33963,20.8844,23,-7.65765000000002,41
Ebastine,79.36072,84.4658,78.43253,70.54286,70.54286,78.89662,96.06824,105.8143,117.4167,162.4342,204.6671,245.9718,279.851,268.7126,261.287,258.5025,256.182,266.8562,269.6408,271.4972,288.2047,292.8457,292.8457,295.1662,195.675222083333,70.54286,295.1662,9017.88374,46,6,224.62334,215.80548,22.50875,17,-5.5692,25
Pheniramine.Maleate,66.83008,69.15057,70.07877,69.15057,75.18384,99.31693,116.4885,120.2013,131.3397,141.0857,179.6058,211.1645,244.1154,273.3536,293.7739,309.5532,316.5147,314.6583,319.7634,319.2993,305.8404,289.1329,287.2765,268.2485,203.796931666667,66.83008,319.7634,9447.17414,36,0,252.93332,201.41842,19.26005,19,-9.51400000000001,45
Anisotropine.Methylbromide.,72.39925,74.25565,69.61466,66.36598,67.75828,80.75301,105.8143,109.5271,121.5936,129.9474,158.2573,197.2415,235.7617,258.9666,272.4254,284.956,290.5252,301.6635,308.1609,306.3045,302.1277,303.0558,291.9175,277.5305,195.288472083333,66.36598,308.1609,9023.91691000001,36,6,241.79492,205.13125,19.4921,21,-7.1935,45
Retapamulin,54.29944,59.86861,58.94042,60.79681,74.71974,99.31693,127.1628,151.2959,169.8598,180.534,179.6058,189.816,207.4517,219.9823,241.3308,251.0769,253.3974,259.8947,251.0769,246.9,241.7949,233.9053,226.0156,222.7669,177.575402083333,54.29944,259.8947,8246.55296,34,0,205.59526,168.46746,13.922935,11,-4.4089,35
Moxalactam.Disodium,56.15583,66.83008,66.83008,67.29417,71.47105,90.03497,111.3835,126.6987,126.2346,142.9421,168.4675,219.0542,265.4639,297.0226,325.7966,332.294,325.7966,313.7301,313.266,307.6968,315.1224,300.7354,298.4149,278.4586,207.799778333333,56.15583,332.294,9639.77493,30,0,276.13817,222.30277,25.29335,21,-9.97815,45
Tinidazole,64.50959,62.6532,58.47632,53.83534,64.97369,91.42726,124.8423,136.9088,144.7985,161.9701,189.3519,239.0103,266.3921,277.5305,294.238,321.1557,325.7966,305.3763,296.5585,291.4534,291.9175,275.6741,261.7511,248.2923,202.037225,53.83534,325.7966,9384.98490999999,32,6,271.96126,183.78271,24.8292,21,-10.21015,33
Tacrine.HCl,51.05075,57.54812,57.08403,56.15583,66.83008,77.96842,85.39399,100.2451,108.1348,120.2013,158.7214,205.1312,252.9333,276.1382,291.4534,301.1995,303.5199,284.0278,267.3203,264.9998,247.3641,236.2258,237.154,237.6181,181.0174675,51.05075,303.5199,8400.16959,32,0,252.46915,186.56735,23.90105,23,-9.74605,33
Mequinol,57.54812,64.97369,57.08403,51.97895,59.40451,76.11204,99.78102,116.0244,124.8423,129.0192,153.6164,190.7442,241.3308,265.4639,272.4254,283.5638,287.2765,294.7021,298.4149,293.3098,280.3151,267.7844,263.6075,272.4254,187.5728525,51.97895,298.4149,8673.52340000001,36,6,246.43595,214.87728,25.2933,23,-6.49735000000001,39
Pridinol.Methanesulfonate,78.43253,80.28892,63.1173,51.51485,50.12256,73.32745,84.4658,97.46053,105.8143,125.7705,157.7932,204.203,244.1154,264.5357,277.9946,279.851,261.287,263.1434,253.8615,248.7564,235.7617,230.1925,215.8055,211.6286,173.301843333333,50.12256,279.851,8028.42735000001,30,8,229.72844,133.19607,23.2049,21,-9.28200000000001,31
Loxapine.Succinate,71.47105,77.50433,66.36598,53.83534,58.47632,85.39399,102.5656,118.3449,122.5218,137.837,163.8265,185.175,219.9823,232.0489,232.0489,245.0436,250.6128,245.9718,247.3641,237.154,218.1259,209.7722,194.457,192.6006,165.354162916667,53.83534,250.6128,7672.92817,32,6,196.77746,121.12955,17.40365,23,-9.51405,39
Difloxacin.HCl,66.83008,67.75828,57.08403,54.76354,63.1173,88.64268,108.5989,112.7758,117.8808,124.3782,143.8703,179.1417,218.1259,267.7844,295.6303,304.4482,319.7634,316.0506,306.7686,303.5199,302.5917,292.3816,292.8457,284.4919,195.38515875,54.76354,319.7634,9027.16563999999,32,6,264.99986,217.66182,24.82925,25,-5.337125,3
Droperidol,80.28892,77.04023,76.11204,68.68647,73.79154,86.78629,101.1733,109.5271,102.5656,111.3835,124.8423,161.506,213.9491,246.9,251.0769,245.0436,237.6181,228.8002,226.0156,221.3746,202.3466,197.2415,190.7442,187.0314,159.243545416667,68.68647,251.0769,7376.36986000001,28,6,182.39043,106.74248,26.22155,23,-9.514,39
Nifenazone,71.47105,73.32745,71.00696,64.04549,68.68647,86.78629,107.2066,108.1348,113.2399,117.4167,149.9036,187.0314,217.1978,247.8282,271.0331,292.3816,295.1662,291.4534,277.9946,262.6794,246.9,242.7231,229.2643,232.513,180.224642083333,64.04549,295.1662,8346.79877,32,6,231.12071,161.04195,18.5639,21,-7.88969999999999,39
Closantel.Sodium,62.1891,62.6532,51.97895,41.7688,45.01748,66.83008,78.89662,84.4658,84.00169,99.31693,123.45,165.2188,208.844,231.5848,226.4797,222.3028,221.3746,214.4132,214.4132,209.3081,206.9876,204.203,200.4902,190.2801,146.51953125,41.7688,231.5848,6780.4683,26,6,189.816,128.091,21.8126,23,-5.337125,3
