,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
ABT.263..Navitoclax.,99.97175,99.70097,99.24326,99.55017,99.86495,99.9761,99.97894,99.67278,98.97871,98.9845,97.17354,96.90504,96.69125,95.27817,93.64575,92.39555,93.89257,90.57478,90.08337,89.45518,89.54298,90.21206,88.46526,88.33823,95.3573275,88.33823,99.97894,4388.84174,12,46,11.64071,-11.63352,0.748510000000003,31,-1.658895,33
Clofarabine,99.59223,99.74483,99.60757,99.61344,99.64749,99.34362,99.0676,99.30765,99.21266,99.44068,99.71181,99.79111,99.87186,99.97933,99.87048,99.85052,99.89285,99.73999,99.62181,99.37119,99.57256,98.83723,99.12287,98.87923,99.5287754166667,98.83723,99.97933,4578.90976,26,42,1.1421,-0.712999999999994,0.14282,43,-0.367664999999995,41
BEZ235..NVP.BEZ235..Dactolisib.,99.33106,99.51708,99.52979,99.88831,100,100,100,100,100,99.9522,99.95157,99.90101,99.81204,99.91081,99.78952,99.96041,99.80167,99.90218,99.68321,99.63195,99.03652,99.19727,99.01035,98.70585,99.6880333333333,98.70585,100,4586.98869,8,46,1.29415,-0.625209999999996,0.179259999999999,5,-0.297715000000004,39
KU.0063794,99.65012,99.88001,99.84139,99.88657,99.79469,99.96794,99.97913,99.85915,99.82123,99.80319,99.84858,99.78241,99.69785,99.84589,99.76134,99.76887,99.65018,99.69986,99.65268,99.50638,98.84725,97.78977,98.52695,97.6682,99.5220679166667,97.6682,99.97913,4579.74094,12,46,2.31093,-1.98192,0.368589999999998,43,-0.528739999999999,41
PD184352..CI.1040.,99.81735,99.75332,99.85362,99.95579,99.76569,99.69703,99.72009,99.76452,99.65704,99.54749,99.56509,99.43502,99.58091,99.59402,99.62794,99.6459,99.56467,99.6991,99.65184,99.64086,99.16576,99.13896,98.15291,97.72505,99.4883320833333,97.72505,99.95579,4577.89754,6,46,2.23074,-2.09230000000001,0.0729450000000043,23,-0.493024999999996,43
Temozolomide,99.80617,99.91524,99.97562,99.88062,99.83049,99.86135,99.77446,99.70891,99.61723,99.48227,99.49953,99.52869,99.59756,99.60985,99.48123,99.41189,99.62139,99.33569,99.59148,99.30363,98.89691,98.67538,99.1293,97.87507,99.475415,97.87507,99.97562,4577.13868,4,46,2.10055000000001,-1.9311,0.226959999999998,43,-0.627115000000003,45
Motesanib.Diphosphate..AMG.706.,99.6332,99.67506,99.66332,99.74448,99.57062,99.63845,99.549,99.25529,99.14545,99.3752,99.38556,99.19098,99.47342,99.21039,99.49865,99.72112,99.48434,99.38004,99.4938,98.42879,97.43465,97.23294,98.39307,96.26762,99.0768933333333,96.26762,99.74448,4559.79006,6,46,3.47686,-3.36558000000001,0.580064999999998,43,-1.062725,45
Dienogest,99.83443,99.94589,100,99.94874,99.84098,99.83945,99.85921,99.8693,99.72742,99.8302,99.59908,99.54803,99.34958,99.34053,99.27794,99.29528,99.40022,99.06388,98.99695,98.57136,98.51996,98.31675,97.87859,96.8924,99.2810904166667,96.8924,100,4568.76551,4,46,3.10760000000001,-2.94203,0.0557300000000041,1,-0.493095000000004,45
STF.62247,99.96228,99.87759,99.72977,99.76672,99.61607,99.50153,99.47758,99.36069,99.32283,99.18758,99.29577,99.25059,99.35855,99.6075,99.44856,99.62014,99.50838,99.37126,99.28664,99.21757,98.91343,99.09779,98.93961,99.35869,99.41988,98.91343,99.96228,4572.83327,0,40,1.04885,-0.603590000000011,0.209539999999997,45,-0.152069999999995,39
Celecoxib,99.86495,99.86446,99.80775,99.65392,99.88104,99.64169,99.77205,99.71871,99.69184,99.63278,99.83104,99.87849,99.93036,99.91855,99.95676,99.95985,99.97955,99.97894,99.95441,99.94612,99.90128,99.94086,99.9229,99.97582,99.858505,99.63278,99.97955,4593.36747,32,18,0.346770000000006,0.110870000000006,0.11356,7,-0.119675000000001,9
Y.27632.2HCl,99.89589,99.97976,100,100,99.97685,99.97783,100,99.97575,100,99.97692,99.97167,100,99.88719,99.89002,99.95938,99.95282,99.93983,99.90763,99.94888,99.9238,99.97768,100,99.89845,99.89051,99.9554525,99.88719,100,4598.07532,4,24,0.112809999999996,-0.00537999999998817,0.0419350000000023,1,-0.056404999999998,23
Adapalene,99.87566,99.90308,99.87614,99.96725,99.81735,99.79462,99.55673,99.4735,99.38551,99.37899,99.49594,99.01615,98.77348,99.16673,99.16266,99.56641,99.08266,99.6017,99.17854,99.38985,99.15996,99.02091,98.72416,98.54277,99.37128125,98.54277,99.96725,4571.40307,6,46,1.42448,-1.33288999999999,0.259519999999995,33,-0.241875,31
Masitinib..AB1010.,99.62574,99.69149,99.73245,99.65378,99.46072,99.14841,98.83282,98.68513,98.56735,98.28642,98.05959,98.66095,98.8429,98.8447,99.28864,99.37859,99.87463,99.67072,99.48504,99.71712,99.91813,99.82828,99.90903,99.87489,99.29323,98.05959,99.91813,4566.57441,40,20,1.85854,0.24915,0.30068,21,-0.157795,11
Budesonide,99.82655,99.73391,99.76202,99.73847,99.66595,99.50665,99.01711,98.95535,98.83261,98.43314,98.82936,98.01661,97.31853,96.83514,96.78658,96.09823,96.58121,94.51618,94.71823,93.72534,92.70108,92.0899,92.6894,91.369,96.90610625,91.369,99.82655,4460.29755,0,46,8.45755,-8.45755,0.299750000000003,43,-1.032515,33
ZSTK474,99.72859,99.70933,99.64667,99.83795,99.84444,99.96317,99.87779,99.91661,99.9685,99.96912,100,99.97976,100,100,100,100,100,100,100,100,100,100,100,100,99.9350804166667,99.64667,100,4597.15527,20,4,0.35333,0.271410000000003,0.0956400000000031,5,-0.0426900000000003,11
Floxuridine,99.52889,99.70027,99.64274,99.56572,99.19325,98.95687,98.82356,98.71297,99.15664,98.74889,99.18732,98.64921,98.76733,99.2673,99.15485,99.66297,99.79256,99.83228,99.79105,99.74808,99.85231,99.90861,99.87248,99.86743,99.3909825,98.64921,99.90861,4571.37084,42,22,1.2594,0.338539999999995,0.254060000000003,29,-0.269055000000002,21
Belinostat..PXD101.,99.66671,99.6437,99.75277,99.87835,99.82523,100,100,99.97816,100,100,100,99.96738,99.96268,100,100,100,100,100,100,100,100,100,100,99.94245,99.9423929166667,99.6437,100,4597.6257,10,2,0.356300000000005,0.275739999999999,0.0873849999999976,9,-0.0287750000000031,45
Costunolide,99.72195,99.71774,99.61787,99.61055,99.30032,98.86287,98.90596,98.53959,98.30942,97.8663,98.34286,98.30106,98.18599,98.05965,98.37298,98.73059,98.49745,98.83392,98.5536,98.27033,98.48357,98.14944,98.46422,98.9153,98.6922304166667,97.8663,99.72195,4538.58981,0,18,1.85565000000001,-0.806650000000005,0.238280000000003,19,-0.221560000000004,17
LAQ824..Dacinostat.,99.77218,99.88001,99.89534,99.8673,99.76487,99.85507,99.95454,99.85915,99.78143,99.97823,99.87904,99.91193,100,100,99.9171,99.9754,100,99.95806,100,100,99.98003,100,99.95377,100,99.9243104166667,99.76487,100,4596.59472,24,8,0.235129999999998,0.227819999999994,0.098399999999998,17,-0.0512149999999991,7
Flumazenil,99.76541,99.84595,99.92124,99.92372,99.83138,99.81072,99.67471,99.63638,99.31455,99.41698,99.23927,99.08059,99.30225,99.25645,99.42412,99.5635,99.40822,99.64142,99.5425,99.56667,99.54644,99.12666,99.2039,99.09055,99.5055658333333,99.08059,99.92372,4577.4112,6,22,0.843130000000002,-0.67486000000001,0.116599999999998,33,-0.209890000000001,41
GDC.0879,98.93705,99.45941,99.37216,99.49035,99.55293,99.26744,99.09882,99.10394,99.31822,98.90292,98.70101,98.27212,98.17569,97.93275,97.96128,96.99409,97.30044,97.29374,96.93496,96.877,95.94371,95.34875,94.31241,94.31214,97.8693054166667,94.31214,99.55293,4504.47747,8,46,5.24079,-4.62491,0.261180000000003,1,-0.518169999999998,43
Granisetron.HCl,99.94391,100,100,100,100,99.97346,99.94286,99.91558,99.9725,99.97755,99.93306,99.93658,99.95365,99.90903,100,99.94334,100,99.96671,99.97424,99.95039,99.84126,99.95702,99.90302,99.91958,99.9547391666667,99.84126,100,4597.96399,2,40,0.158739999999995,-0.0243300000000062,0.0578799999999973,41,-0.0545649999999966,39
X4μ8C,99.72147,99.78171,99.69833,99.73398,99.59866,99.71947,99.88097,99.81052,99.82876,99.79981,99.56805,99.78379,99.47833,99.73191,99.33838,99.41575,99.4357,99.26012,99.22434,99.69772,99.66193,99.35965,99.3714,98.99377,99.5789383333333,98.99377,99.88097,4581.0738,12,46,0.887200000000007,-0.727699999999999,0.236690000000003,37,-0.196764999999999,27
RG2833..RGFP109.,99.26151,99.19125,98.98748,99.27021,99.37326,99.3075,99.24797,99.55853,99.57206,99.52094,99.89555,99.73198,99.62601,99.5128,99.31829,99.19691,97.78701,98.10241,97.89109,98.35563,97.01598,95.96816,95.4961,94.65213,98.5766983333333,94.65213,99.89555,4537.76788,20,46,5.24342,-4.60938,0.23227,37,-0.704950000000004,31
SGX.523,99.92089,99.76824,99.91226,99.76183,99.58809,99.38846,99.36028,99.04094,98.95452,98.9108,98.59139,98.96758,98.65854,98.24408,97.95741,97.51015,97.31576,96.07571,95.82185,95.73807,93.66074,93.3709,91.1789,91.41177,97.4628816666667,91.1789,99.92089,4486.88566,0,44,8.74199,-8.50912,0.188094999999997,21,-1.096,43
Losartan.Potassium..DuP.753.,99.96262,99.95468,99.95337,99.97816,99.84989,99.8809,99.78696,99.84229,99.69039,99.88615,99.89341,99.74606,99.84513,99.88326,99.95634,99.96455,99.9493,100,99.93174,99.91095,99.82793,99.84602,99.94467,99.9296,99.8922654166667,99.69039,100,4594.93652,34,16,0.309610000000006,-0.0330200000000076,0.0978800000000035,17,-0.075950000000006,15
Everolimus..RAD001.,99.52144,99.66884,99.85542,99.92173,99.91144,99.82972,99.73577,99.75629,99.90273,99.65012,99.87414,99.85604,99.8921,99.89748,100,99.9303,99.9593,99.92435,99.9765,99.95579,99.93554,99.97933,99.92898,99.85908,99.8634345833333,99.52144,100,4594.06434,28,0,0.478560000000002,0.337640000000007,0.112009999999998,19,-0.126305000000002,17
Acitretin,99.90066,99.89451,99.93354,99.91275,99.82558,99.75463,99.59686,99.49014,99.45498,99.62022,99.79097,99.82296,99.80099,99.88174,99.84188,99.84851,99.92616,99.78088,99.82453,99.86115,99.89542,99.91019,99.84139,99.97948,99.8079216666667,99.45498,99.97948,4590.9001,46,16,0.524499999999989,0.0788199999999932,0.0853749999999991,19,-0.0788849999999996,11
AT9283,99.74869,99.57835,99.66828,99.75823,99.86288,99.88733,99.86273,99.8626,99.84188,99.83663,99.87696,99.86452,100,99.98009,99.9763,100,100,100,100,100,100,100,100,100,99.9002279166667,99.57835,100,4595.46225,24,2,0.42165,0.251310000000004,0.0677400000000006,23,-0.085169999999998,1
Lopinavir,99.68942,99.69944,99.71679,99.80023,99.86385,99.75325,99.69495,99.80659,99.89327,99.9113,99.91165,99.87835,99.79034,99.85755,99.91661,100,99.91621,100,100,100,100,99.97292,99.97898,100,99.8771541666667,99.68942,100,4594.41398,30,0,0.310580000000002,0.310580000000002,0.0558199999999971,13,-0.0553000000000026,9
Ivacaftor..VX.770.,99.49346,99.7795,99.84864,99.9113,99.86875,99.95171,99.96767,99.98038,99.96809,99.86758,99.92518,99.9781,99.97644,100,100,100,99.97416,100,100,100,100,99.9669,99.97961,100,99.9348945833333,99.49346,100,4597.38148,26,0,0.506540000000001,0.506540000000001,0.14302,1,-0.0502549999999999,17
Ondansetron.HCl,99.83482,99.72562,99.54983,99.78993,99.77087,99.67409,99.52185,99.49353,99.59258,99.49733,99.71809,99.77771,99.63348,99.81846,99.8798,99.7786,99.89706,99.813,99.94942,99.85259,99.7681,99.73288,99.90025,99.91551,99.745225,99.49353,99.94942,4588.02047,36,14,0.455889999999997,0.0806900000000041,0.120049999999999,5,-0.0878950000000032,3
S3I.201,99.80431,99.88195,99.9073,99.9008,99.91427,99.68079,99.8159,99.55306,99.42355,99.51577,99.70718,99.767,99.76459,99.77888,99.88927,99.85755,99.91102,99.87711,99.9781,99.8217,99.97215,99.89404,99.81667,99.97858,99.8088141666667,99.42355,99.97858,4591.04019,46,16,0.555029999999988,0.174269999999993,0.0957049999999953,19,-0.131419999999999,13
Tenofovir.Disoproxil.Fumarate,99.77736,99.67581,99.8764,99.56979,99.56667,99.2188,99.32271,99.08426,99.1228,99.12348,99.35461,99.6155,99.7252,99.85362,99.83801,99.98127,99.93347,99.9763,99.92477,99.90232,100,99.97948,99.90425,99.91813,99.6768754166667,99.08426,100,4584.79453,40,14,0.91574,0.140770000000003,0.130445000000002,21,-0.173935,9
ABT.751..E7010.,99.68977,98.99113,98.2235,97.78072,96.49722,95.9187,95.67168,95.70112,95.89011,95.64821,96.68594,97.18535,97.45377,98.97263,99.09737,99.15472,99.27414,98.86687,99.14558,99.52973,98.89105,99.12099,99.25618,99.33644,97.9992883333333,95.64821,99.68977,4504.93963,0,18,4.04155999999999,-0.35333,0.759429999999995,25,-0.641750000000002,7
Clopidogrel,99.75678,99.80962,99.87524,99.78461,99.64687,99.73356,99.50354,99.07252,99.15147,99.34916,99.60612,99.65033,99.6774,99.74116,99.95503,99.89169,99.95979,99.88733,99.94998,99.95509,100,99.8968,99.97933,100,99.7430591666667,99.07252,100,4587.91006,40,14,0.927480000000003,0.243219999999994,0.128480000000003,19,-0.215510000000002,13
WZ4002,99.32816,99.67907,99.61344,99.5575,99.6531,99.62789,99.87248,99.88962,99.81059,99.93977,99.939,99.95441,99.93955,100,99.97678,100,100,100,100,100,100,100,100,100,99.86589,99.32816,100,4594.23456,26,0,0.671840000000003,0.671840000000003,0.175454999999999,1,-0.0395149999999944,15
Tianeptine.sodium,99.60806,99.55328,99.28078,99.38258,99.52185,99.25854,99.11396,98.82957,99.18164,99.58996,99.61295,99.68957,99.76057,99.85272,99.83538,99.87828,99.97928,99.90681,99.97997,99.91869,99.89983,99.96062,99.97803,100,99.6488716666667,98.82957,100,4583.53778,46,14,1.17043,0.391940000000005,0.204160000000002,17,-0.142195000000001,13
Danoprevir..ITMN.191.,99.74075,99.8235,99.89259,99.93527,99.75332,99.46568,99.51024,99.23526,99.66656,99.3707,99.55584,99.71221,99.72853,99.73605,99.91683,99.8961,99.84954,99.88062,99.50403,99.90598,99.92477,99.88602,99.84105,99.79186,99.7301375,99.23526,99.93527,4587.51399,6,14,0.700010000000006,0.0511099999999942,0.215650000000004,15,-0.188294999999997,35
Ziprasidone.HCl,99.36608,99.63589,99.51701,99.47487,99.39323,98.7189,98.51263,98.1855,98.5798,98.21624,98.1397,98.51831,99.00951,98.85685,99.27767,99.28714,99.35564,99.69647,99.66069,99.85936,99.57517,99.77481,99.83807,99.83898,99.1786883333333,98.1397,99.85936,4561.37198,38,20,1.71965999999999,0.47290000000001,0.245600000000003,23,-0.337164999999999,9
Thalidomide,99.82813,99.79573,99.77218,99.77412,99.82709,99.51984,99.30447,99.29858,99.1514,99.30433,99.76845,99.84886,99.79041,99.83849,99.90336,99.89417,99.90833,99.88574,100,99.95475,99.92401,99.855,99.92781,99.96151,99.7515316666667,99.1514,100,4588.28388,36,16,0.848600000000005,0.133380000000002,0.232060000000004,19,-0.153624999999998,9
Cilomilast,99.83199,99.83801,99.88898,99.83332,99.80147,99.82213,99.50595,99.28133,99.4668,99.65842,99.41843,99.58154,99.74683,99.88367,99.93969,99.84754,99.92968,99.89521,99.89472,99.90405,100,99.89445,99.93568,99.94708,99.78112375,99.28133,100,4589.71487,40,14,0.718670000000003,0.115089999999995,0.0958100000000002,17,-0.158090000000001,11
Dimesna,99.64155,99.58097,99.69619,99.61848,99.44096,99.26592,99.06159,98.87156,98.73977,99.01828,99.1851,99.2546,99.51038,99.57711,99.66539,99.86613,99.75166,99.97512,99.7362,99.83054,99.94769,99.75967,99.8829,99.78613,99.5276620833333,98.73977,99.97512,4577.9001,34,16,1.23535000000001,0.144580000000005,0.139255000000006,17,-0.119460000000004,35
Moxifloxacin.HCl,99.31132,99.15664,99.19588,99.36006,99.13737,98.69514,98.43763,98.30984,98.78121,98.92973,99.15809,99.41222,99.49892,99.70325,99.77238,99.64929,99.65357,99.75933,99.96883,99.89722,99.9421,99.82032,99.8979,99.95101,99.3916354166667,98.30984,99.96883,4571.53617,36,14,1.65899,0.639690000000002,0.235685000000004,15,-0.221115000000005,9
Methotrexate,99.8251,99.84084,99.81038,99.55901,99.79546,99.49318,99.09821,99.37084,98.90072,99.18987,99.35193,99.27987,99.5423,99.81894,99.76541,100,100,99.84305,99.84395,99.87351,99.94542,99.92545,99.87234,99.90889,99.66061125,98.90072,100,4583.97535,30,16,1.09927999999999,0.0837899999999934,0.144574999999996,17,-0.235059999999997,15
Pimasertib..AS.703026.,99.73667,99.88499,99.92471,99.93098,99.94004,99.91221,99.95716,99.977,99.97726,99.9647,100,100,100,99.97361,99.95793,100,100,100,100,100,100,100,100,100,99.9640525,99.73667,100,4598.53785,20,0,0.263329999999996,0.263329999999996,0.0741599999999991,1,-0.0139149999999972,9
JIB.04,99.87033,99.71091,99.93962,99.60944,99.60667,99.47508,99.33355,99.40967,99.62857,99.61447,99.62076,99.75733,99.82005,99.86425,99.92823,99.77232,99.89203,99.75851,99.86792,99.98106,99.89114,99.85086,99.93921,99.78352,99.7468958333333,99.33355,99.98106,4588.19715,38,12,0.647509999999997,-0.0868099999999998,0.114355000000003,3,-0.165089999999999,5
STF.118804,99.76908,99.74235,99.7051,99.61234,99.49837,99.44234,99.28022,99.32416,98.71939,99.16437,99.42003,99.30814,99.28789,99.61903,99.37879,99.32816,99.21086,98.21024,98.77901,98.15726,97.32862,98.0548,96.79541,97.00699,98.9226229166667,96.79541,99.76908,4551.50983,0,44,2.97367,-2.76209,0.36309,41,-0.629694999999998,43
ABT.737,99.42639,98.32427,97.7135,98.92682,99.38625,99.84402,99.76948,99.09545,98.00341,97.01625,95.34489,93.62566,90.4331,89.61884,89.1465,90.66761,87.99927,86.77311,86.55606,87.45641,85.2654,83.6805,81.88459,82.96474,92.455105,81.88459,99.84402,4255.45391,10,44,17.95943,-16.46165,0.760554999999997,29,-1.59628,23
YM201636,99.56219,99.8532,99.77916,99.63569,99.76679,99.97713,99.94439,99.82391,99.97844,99.90314,99.98114,100,99.96339,100,100,99.98016,100,100,100,100,100,100,100,100,99.92286375,99.56219,100,4596.73527,22,0,0.437809999999999,0.437809999999999,0.145505,1,-0.0717350000000039,5
Nintedanib..BIBF.1120.,99.86501,99.86661,99.95019,99.89616,99.96013,99.92269,100,100,100,100,100,99.97692,100,100,100,100,100,100,100,100,99.97928,100,99.98092,100,99.9749129166667,99.86501,100,4598.93081,12,0,0.134990000000002,0.134990000000002,0.041790000000006,3,-0.0270150000000058,5
Raloxifene.HCl,99.5519,99.64681,99.64045,99.1889,99.43165,98.85485,98.50063,98.48846,98.77748,99.00751,98.71201,98.75428,99.04895,99.8968,99.78026,99.83282,99.76782,99.80238,99.9124,99.98106,100,99.94514,99.93106,99.97844,99.4346691666667,98.48846,100,4573.33378,40,14,1.51154,0.426540000000003,0.423924999999997,25,-0.288400000000003,9
Dasatinib,99.32796,99.05717,98.9155,99.34681,99.40967,99.26717,99.7362,99.5416,99.52006,99.38204,99.49802,99.31752,99.1413,99.57165,99.87772,99.87366,99.96988,99.91883,99.95793,99.97906,99.97726,100,99.9506,99.98135,99.6049566666667,98.9155,100,4581.72861,42,4,1.08450000000001,0.653390000000002,0.234515000000002,11,-0.135395000000003,1
Vincristine,99.51432,99.42017,99.17806,99.28071,98.91978,98.82929,97.54102,97.99499,97.005,97.28669,96.99346,97.97261,98.67594,99.27449,99.47571,99.65392,99.84409,99.76955,99.93106,99.87269,99.91794,99.90778,99.91481,99.95959,99.0055695833333,96.99346,99.95959,4552.79343,46,20,2.96613000000001,0.445270000000008,0.489575000000002,21,-0.644134999999999,11
Nilotinib..AMN.107.,99.85977,99.79573,99.69772,99.7956,99.79961,99.79221,99.7326,99.67436,99.81184,99.84235,99.55673,99.81846,99.78993,99.77909,99.81528,99.83641,99.87891,99.95295,99.9048,99.79263,99.93209,99.80327,99.90253,99.9077,99.8113570833333,99.55673,99.95295,4591.17767,34,20,0.39622,0.047930000000008,0.130865,21,-0.142809999999997,19
Entecavir.Hydrate,99.67665,99.76873,99.79359,99.86087,99.69688,99.88305,99.76057,99.84119,99.83925,99.79608,99.95267,99.94397,99.89404,99.91759,99.92372,99.97761,100,99.97851,99.9593,100,100,99.94598,100,99.90287,99.8880466666667,99.67665,100,4595.04672,32,0,0.323350000000005,0.226219999999998,0.0930850000000021,9,-0.0819950000000063,7
Sunitinib.Malate,99.97346,99.94666,99.93548,100,99.97894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9931058333333,99.93548,100,4599.69562,6,4,0.0645200000000017,0.0265399999999971,0.0322600000000008,5,-0.0134000000000043,1
Avagacestat..BMS.708163.,99.70027,99.71105,99.77329,99.5425,99.49892,99.19471,99.39613,99.30896,99.41664,99.66856,99.68763,99.78861,99.64487,99.91268,99.69026,99.83387,99.86378,99.92643,99.89534,99.90295,99.94963,99.94853,99.97858,99.7797,99.7089120833333,99.19471,99.97858,4586.54781,44,10,0.783869999999993,0.0794300000000021,0.133904999999999,25,-0.152104999999999,9
Elesclomol..STA.4783.,99.51342,99.7328,99.5702,99.61945,99.57284,99.61447,99.5432,99.65827,99.5474,99.8876,99.94743,99.8769,99.88637,99.91924,99.91406,99.97823,99.88802,99.95531,99.95213,99.95758,99.95206,99.977,99.8644,99.91088,99.8016358333333,99.51342,99.97823,4591.05422,30,0,0.46481,0.397460000000009,0.170100000000005,17,-0.0812999999999988,3
Altretamine,99.90985,100,100,100,99.95786,100,100,100,99.98024,99.98086,100,99.9812,100,100,100,100,100,100,100,100,100,100,100,100,99.99208375,99.90985,100,4599.71017,2,0,0.0901499999999942,0.0901499999999942,0.0450749999999971,1,-0.0210700000000017,7
GDC.0941,99.53691,99.49995,99.46521,99.84713,99.91951,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9278629166667,99.46521,100,4597.00051,10,4,0.534790000000001,0.463089999999994,0.190960000000004,5,-0.0184800000000038,1
Bumetanide,99.89762,99.92311,99.92912,99.83607,99.89044,99.69053,99.79726,99.82296,99.76216,99.8615,99.97279,99.8108,99.97015,99.9761,99.95702,99.95192,99.92594,100,99.96621,99.88885,99.97886,99.93851,99.84119,99.91489,99.896,99.69053,100,4595.19549,34,10,0.309470000000005,0.0172699999999963,0.0796750000000017,23,-0.0999550000000013,9
SB216763,99.66449,99.75879,99.7565,99.51348,99.60675,99.48462,99.08128,98.91335,98.91543,99.00558,99.10123,99.25542,99.42562,99.43895,99.29321,99.69289,99.47018,99.51301,99.6155,99.77397,99.76134,99.76672,99.58829,99.56509,99.4567370833333,98.91335,99.77397,4574.6938,38,14,0.860620000000011,-0.0994000000000028,0.199840000000002,29,-0.20167,11
FT.207..NSC.148958.,99.26247,99.42805,99.51024,99.5921,99.57413,99.60709,99.57773,99.64529,99.66325,99.62961,99.58472,99.73812,99.90039,99.82343,99.88181,99.80147,99.90281,99.90536,99.8434,99.97554,99.95248,99.8206,99.88947,99.69744,99.7169583333333,99.26247,99.97554,4587.45409,38,0,0.713070000000002,0.434970000000007,0.0827900000000028,1,-0.0960150000000013,45
Iniparib..BSI.201.,99.79153,99.82129,99.79256,99.68832,99.65046,99.31186,98.98299,99.30827,99.30737,98.9959,99.3562,99.45118,99.45492,99.71353,99.80035,99.72598,99.56329,99.74635,99.79097,99.89639,99.93064,99.95579,99.95515,99.92028,99.6213154166667,98.98299,99.95579,4582.11133,42,12,0.972799999999992,0.128750000000011,0.180149999999998,19,-0.1693,9
Dexamethasone..DHAP.,99.55888,99.64162,99.6781,99.68211,99.58408,99.26295,99.2972,99.24106,99.47585,99.38025,99.12694,99.44669,99.07195,99.25735,99.10056,99.21501,99.00253,99.37444,98.86971,98.77113,99.06126,98.76907,98.70799,98.22157,99.1999291666667,98.22157,99.68211,4563.81615,6,46,1.46053999999999,-1.33731,0.185955000000007,33,-0.252365000000005,35
Quisinostat..JNJ.26481585.,99.2068,99.22827,99.50182,99.60191,99.39565,99.69019,99.64709,99.72694,99.82082,99.89148,99.81943,99.98071,99.93147,99.96953,99.91088,99.97844,100,99.91703,99.98003,99.94653,99.9707,99.92774,99.97105,99.91226,99.7886154166667,99.2068,100,4590.73448,32,0,0.793199999999999,0.705460000000002,0.147269999999999,9,-0.10313,7
Fluoxetine.HCl,99.57746,99.45145,99.22704,99.37389,99.01786,99.03334,99.08991,98.6287,98.29057,98.39826,99.01456,98.85532,99.28824,99.34481,99.68728,99.71394,99.64693,99.98003,99.91848,99.89182,99.86909,99.91621,99.92021,100,99.3806416666667,98.29057,100,4570.69334,46,16,1.70943,0.422539999999998,0.308150000000005,19,-0.230605000000004,13
LY294002,99.40987,99.2338,99.19781,99.37389,99.25487,99.01276,99.46486,99.48946,99.55238,99.49415,99.65958,99.75339,99.82082,100,99.9229,100,99.97582,99.91359,100,100,100,100,100,100,99.6887479166667,99.01276,100,4585.65003,26,10,0.98724,0.590130000000002,0.226050000000001,11,-0.121054999999998,9
Ivermectin,99.29874,99.56758,99.61973,99.59417,99.72991,99.43909,99.15381,99.073,99.21798,99.1795,99.35524,99.27055,99.20264,99.54456,99.24797,99.41022,99.30875,99.20299,99.51011,99.47433,99.4688,99.48516,99.50397,99.79511,99.40224625,99.073,99.79511,4572.21397,46,14,0.722110000000001,0.496369999999999,0.170960000000001,25,-0.148295000000005,27
SGI.1027,99.26301,99.36664,99.50679,99.41257,99.53111,99.26233,99.5959,99.25494,99.21239,99.10414,98.76036,98.70592,98.47907,99.2691,99.03846,98.97594,98.4806,99.03997,98.52273,98.75918,98.68099,98.50262,99.04108,99.20928,99.04063,98.47907,99.5959,4555.47795,12,24,1.11683000000001,-0.0537299999999874,0.395015000000001,25,-0.258620000000001,35
ZCL278,99.14539,99.35234,99.42162,99.73315,99.73957,99.49968,99.45677,99.17509,98.775,98.51265,98.4708,98.54967,98.81293,99.02451,99.39281,99.6991,98.96351,98.83095,97.7153,97.06212,96.82422,96.26188,95.56586,96.21697,98.5084120833333,95.56586,99.73957,4533.04142,8,44,4.17371,-2.92842,0.325555000000001,45,-0.557825000000001,35
GSK690693,99.5474,99.78524,99.68916,99.74041,99.49284,99.28761,99.14075,99.24016,99.08376,98.58801,98.65771,98.9298,98.53213,98.26826,98.3318,98.5561,98.73024,98.78488,98.22833,98.57047,98.67435,98.61343,97.76773,96.75018,98.79128125,96.75018,99.78524,4545.68392,2,46,3.03506,-2.79722,0.17107,37,-0.508775,45
GSK1059615,99.49207,99.52661,99.69184,99.97147,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9450829166667,99.49207,100,4597.87191,8,0,0.507930000000002,0.507930000000002,0.139814999999999,5,0,9
TW.37,99.72128,99.80134,99.91233,99.80479,99.81708,99.68377,99.83027,99.7243,99.69875,99.58373,99.59058,99.61835,99.68107,99.61758,99.82378,99.78758,99.70827,99.88216,99.69489,99.85943,99.76541,99.87933,99.8849,99.93438,99.7627229166667,99.58373,99.93438,4588.95504,46,18,0.350650000000002,0.213100000000011,0.103099999999998,27,-0.093634999999999,35
