,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
BMY.7378,99.17198,99.35973,99.10697,98.60023,98.38126,97.97593,97.611,98.10054,98.3173,98.49081,98.72935,98.66074,99.0395,99.1659,99.27325,99.50879,99.60654,99.54782,99.79153,99.47929,99.26661,99.5905,99.69419,99.80699,99.01153125,97.611,99.80699,4553.57453,46,12,2.19598999999999,0.635009999999994,0.244769999999995,13,-0.253370000000004,5
Zaltoprofen,99.26074,99.12502,99.11491,98.71075,98.44717,98.18308,97.6389,98.14309,98.0459,98.62029,98.48425,99.30756,99.15975,99.62298,99.24879,99.59604,99.46299,99.65364,99.69371,99.73571,99.69482,99.44414,99.64667,99.81238,99.07722,97.6389,99.81238,4556.63344,46,12,2.17348,0.551640000000006,0.411654999999996,21,-0.272089999999999,11
KX2.391,98.43481,98.02842,97.29621,97.21644,96.78181,95.51591,95.05574,94.99343,94.70663,94.42783,94.67291,95.16647,96.32901,97.02724,97.58958,97.65569,97.63296,98.07574,98.16768,98.38706,98.27785,98.58891,98.74937,99.06284,96.9933558333333,94.42783,99.06284,4458.18343,46,18,4.63500999999999,0.628029999999995,0.581269999999996,23,-0.632949999999994,9
Bufexamac,99.21978,99.34943,99.57206,99.64017,99.42445,99.24713,99.03403,98.94803,98.89285,98.88435,99.09703,99.15727,99.46672,99.64328,99.51874,99.79179,99.61227,99.73398,99.80374,99.87849,99.71008,99.86605,99.77598,99.95515,99.46761875,98.88435,99.95515,4575.27077,46,18,1.07080000000001,0.735370000000003,0.154724999999999,23,-0.107860000000002,7
AMG.900,97.01038,97.18024,97.05922,97.24558,97.65092,96.43222,96.24405,95.64986,95.26821,95.26186,94.97672,95.99337,95.85536,96.17455,97.06503,96.93681,97.87591,97.68173,98.17763,98.26743,98.78764,98.2179,98.35315,98.80436,97.00708875,94.97672,98.80436,4460.52552,46,20,3.82764,1.79398,0.508324999999999,21,-0.609349999999999,9
Daunorubicin.HCl,99.42852,99.08266,98.73431,98.78709,99.10103,99.5492,99.83787,99.95856,100,99.97741,100,100,100,100,100,100,100,100,100,100,100,99.94729,100,100,99.7668308333333,98.73431,100,4589.37936,16,4,1.26569000000001,0.571479999999994,0.224085000000002,9,-0.174175000000005,3
Crenolanib..CP.868596.,99.3377,99.69109,99.69522,99.75118,99.73917,99.69924,99.69647,99.70297,99.6812,99.82744,99.8291,99.91088,99.72327,99.74151,99.60384,99.63818,99.63334,99.66186,99.74041,99.70869,99.82082,99.95365,99.8467,99.9048,99.7307804166667,99.3377,99.95365,4587.83496,42,0,0.615949999999998,0.567099999999996,0.176695000000002,1,-0.0938050000000032,23
Otilonium.Bromide,98.71525,98.08527,98.4951,97.73021,97.18217,97.54863,97.06122,97.39956,97.08112,97.047,97.47173,97.68594,98.68901,98.3095,98.54207,98.45712,98.53613,98.68541,98.83123,98.76691,99.11472,99.2597,98.53103,99.0198,98.1769095833333,97.047,99.2597,4514.75661,42,18,2.2127,0.304550000000006,0.501534999999997,23,-0.382444999999997,5
CCT137690,99.52047,99.53849,99.42873,99.31939,99.34191,99.28616,99.08204,99.18842,99.06988,99.41754,99.38287,99.71381,99.51653,99.85542,99.93506,99.85452,99.86972,99.90874,99.92933,99.88587,99.94148,99.89577,99.90501,100,99.6161316666667,99.06988,100,4582.05385,46,16,0.930120000000002,0.479529999999997,0.173830000000002,17,-0.102059999999994,11
Medetomidine.HCl,97.56955,97.59698,97.7117,97.50745,97.64208,96.70562,96.37363,96.2015,96.13969,96.32853,96.83777,97.11159,96.57623,97.88902,97.78362,98.02271,98.10185,97.97703,98.36359,97.8623,98.25348,98.79165,98.55678,98.41718,97.5133970833333,96.13969,98.79165,4484.65633,42,16,2.65196,0.847629999999995,0.656395000000003,25,-0.468230000000005,9
